,wells,sampleids,xp_factor_0,xp_factor_1,xp_factor_2,biol_rep,techinical replicat,gene,gene_type,ct_vals
99,99,sample99,WT,Root,drought,1,A,DREB2A,target,25.3213
100,100,sample100,WT,Root,drought,1,B,DREB2A,target,24.1347
101,101,sample101,WT,Root,control,2,A,DREB2A,target,24.5473
102,102,sample102,WT,Root,control,2,B,DREB2A,target,24.4551
103,103,sample103,WT,Root,drought,2,A,DREB2A,target,24.9916
104,104,sample104,WT,Root,drought,2,B,DREB2A,target,25.0367
105,105,sample105,WT,Root,control,3,A,DREB2A,target,25.2042
106,106,sample106,WT,Root,control,3,B,DREB2A,target,23.6702
107,107,sample107,WT,Root,drought,3,A,DREB2A,target,27.6494
108,108,sample108,WT,Root,drought,3,B,DREB2A,target,26.7652
109,109,sample109,WT,Root,control,4,A,DREB2A,target,25.6491
110,110,sample110,WT,Root,control,4,B,DREB2A,target,24.464
111,111,sample111,WT,Root,drought,4,A,DREB2A,target,25.1371
112,112,sample112,WT,Root,drought,4,B,DREB2A,target,24.4536
113,113,sample113,WT,shoot,control,1,A,DREB2A,target,25.4164
114,114,sample114,WT,shoot,control,1,B,DREB2A,target,25.2792
115,115,sample115,WT,shoot,drought,1,A,DREB2A,target,23.9488
116,116,sample116,WT,shoot,drought,1,B,DREB2A,target,22.8555
117,117,sample117,WT,shoot,control,2,A,DREB2A,target,28.8261
118,118,sample118,WT,shoot,control,2,B,DREB2A,target,28.0167
119,119,sample119,WT,shoot,drought,2,A,DREB2A,target,26.1453
120,120,sample120,WT,shoot,drought,2,B,DREB2A,target,25.0048
121,121,sample121,WT,shoot,control,3,A,DREB2A,target,28.0494
122,122,sample122,WT,shoot,control,3,B,DREB2A,target,25.7055
123,123,sample123,WT,shoot,drought,3,A,DREB2A,target,28.319
124,124,sample124,WT,shoot,drought,3,B,DREB2A,target,26.3377
125,125,sample125,WT,shoot,control,4,A,DREB2A,target,25.4173
126,126,sample126,WT,shoot,control,4,B,DREB2A,target,24.8615
127,127,sample127,WT,shoot,drought,4,A,DREB2A,target,24.6974
128,128,sample128,WT,shoot,drought,4,B,DREB2A,target,24.0945
129,129,sample129,WT,Root,control,1,A,RAB18,target,28.3984
130,130,sample130,WT,Root,control,1,B,RAB18,target,28.4734
131,131,sample131,WT,Root,drought,1,A,RAB18,target,27.2178
132,132,sample132,WT,Root,drought,1,B,RAB18,target,26.7853
133,133,sample133,WT,Root,control,2,A,RAB18,target,31.17
134,134,sample134,WT,Root,control,2,B,RAB18,target,30.187
135,135,sample135,WT,Root,drought,2,A,RAB18,target,29.4032
136,136,sample136,WT,Root,drought,2,B,RAB18,target,28.9839
137,137,sample137,WT,Root,control,3,A,RAB18,target,28.3611
138,138,sample138,WT,Root,control,3,B,RAB18,target,28.4012
139,139,sample139,WT,Root,drought,3,A,RAB18,target,28.0131
140,140,sample140,WT,Root,drought,3,B,RAB18,target,27.8823
141,141,sample141,WT,Root,control,4,A,RAB18,target,30.165
142,142,sample142,WT,Root,control,4,B,RAB18,target,30.1072
143,143,sample143,WT,Root,drought,4,A,RAB18,target,27.8882
144,144,sample144,WT,Root,drought,4,B,RAB18,target,27.5971
145,145,sample145,WT,shoot,control,1,A,RAB18,target,24.5302
146,146,sample146,WT,shoot,control,1,B,RAB18,target,24.017
147,147,sample147,WT,shoot,drought,1,A,RAB18,target,23.4728
148,148,sample148,WT,shoot,drought,1,B,RAB18,target,23.6204
149,149,sample149,WT,shoot,control,2,A,RAB18,target,27.7872
150,150,sample150,WT,shoot,control,2,B,RAB18,target,27.3559
151,151,sample151,WT,shoot,drought,2,A,RAB18,target,23.7894
152,152,sample152,WT,shoot,drought,2,B,RAB18,target,23.8944
153,153,sample153,WT,shoot,control,3,A,RAB18,target,24.351
154,154,sample154,WT,shoot,control,3,B,RAB18,target,24.3376
155,155,sample155,WT,shoot,drought,3,A,RAB18,target,25.3696
156,156,sample156,WT,shoot,drought,3,B,RAB18,target,24.5879
157,157,sample157,WT,shoot,control,4,A,RAB18,target,23.8521
158,158,sample158,WT,shoot,control,4,B,RAB18,target,23.4832
159,159,sample159,WT,shoot,drought,4,A,RAB18,target,24.2205
160,160,sample160,WT,shoot,drought,4,B,RAB18,target,23.9991
